time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p40,p42,p43,p44
165,4.419350684798388,3.6866783695819123,2.896401961004102,4.065872803411206,5.267419896138066,3.2053061223012618,4.521257725084948,4.533021932112026,2.81472345976651,2.9726777277167598,2.526939840123984,3.65564386418187,3.2975411925953537,4.5643268385735425,3.7227070173523003,4.533984087774978,3.181905956942772,2.420476319595254,2.777753733904348,4.7220619237142945,3.228732531014594,2.692852117783122,3.105747257845334,3.9306470082742377,3.0001597751384557,2.4600583264462363,3.5248390809265304,2.61187092153469,3.748014621226808,3.8482777616563744
170,4.526746129026646,3.6657906977009582,2.884949673446736,5.0578193660176805,4.746939686018082,3.2770502977860536,4.54511783541084,4.53154225877182,2.778244550854544,2.92416350027694,2.411900685121938,3.62300161432819,3.291089917066268,4.4834733573534375,3.61187462158401,4.51727682652869,3.8442192728043936,2.238636024514874,2.557036219316166,4.7457766057717645,3.1496206095032497,2.587102449415152,3.23516040126849,3.75915917076252,3.009592158140948,2.5107457568277,3.252850482830064,2.703023893031758,3.4575851681584404,3.88222419469406
175,4.433263671326732,4.019256646499416,2.926983149549316,4.74042062733904,5.339634683423892,3.2190507056263042,4.542554428885795,4.686615773424874,2.768737954687732,2.83516755087163,2.5310945220600343,3.599104500181622,3.143827197021892,4.525696725062118,3.7283020967956517,4.394381165538238,3.397927258018958,2.49026298774816,2.749290814668136,4.6570387149543695,3.1481802952399596,2.7329423000266497,3.221494327352024,3.94990171278961,3.008932799651032,2.496505897204688,3.598356839790538,2.754815804446478,3.823883844547706,3.968779134038756
180,4.477096419162916,3.922485227758756,2.9016250512738657,4.505874359145856,4.826829266971476,3.3153635700515602,4.558563326264692,4.558689344308796,2.77721091030814,2.94716458627606,2.618097450637732,3.650499905170972,3.26992484344278,4.27489827012406,3.664667230438526,4.730535886538192,3.3731095097092996,2.36404051733541,2.808931176192216,4.744988279155474,3.2700953302614097,2.339885925327818,3.137195694546226,4.009003882953886,2.98725043673603,2.5831122420976658,3.6235131993861103,2.76269739885604,3.8907613355583477,3.868445375595136
185,4.54084286785549,3.743403778481592,2.783286125068958,4.076937764634652,5.009183430184234,3.218203855779234,4.655787846787538,4.767923392803788,2.7576757441844597,2.904769915578412,2.544950915083072,3.502520146160272,3.0972102598682243,4.718561277319082,3.652259280483574,4.688676272174602,3.4289287319235386,2.342799550758704,2.789769018271578,4.6678244514623,3.165817256180438,2.729102514186658,3.4120392052624657,3.9867421385578097,3.0084382102997242,2.481810701194612,3.5157849199798674,2.730908013681296,3.7499981887029366,3.9043663479259343
190,4.4519664770210055,3.4940367484368933,3.063667877369876,5.149658755270618,5.096018827032983,3.070713852761886,4.563060362901766,4.609697854737454,2.77254132638877,2.966880561661044,2.54579306051589,3.7445197778682155,3.536688161453848,4.474816724565459,3.6812093430471036,4.588910650087017,3.3228749774004838,2.371186680428926,2.465698280891658,4.6098055318225715,3.3251245713320783,2.433022687758672,3.11628195234346,3.962601309241284,3.087181820515128,2.536038280455044,3.468577223151388,2.577240241918954,3.7721080886494,3.94783361873396
195,4.432154060299464,3.9070657875140498,3.011058181858836,4.589476817799074,5.39005849716615,3.5326813858687225,4.6048166342755525,4.749902888839242,2.8310536634969923,2.9290408095866782,2.502841778194,3.73860003830157,3.233278711245636,4.51321849454368,3.5976220156072203,4.614937315147818,3.381347189371624,2.383797011506414,3.002995928624072,4.692907864576502,2.868915386890012,2.435240236788896,3.251639613307634,4.133448666801902,2.933863790726666,2.53265610192718,3.6949620840020976,2.7670852978614198,3.807955157286532,4.072941127152975
200,4.462467892492063,3.720182429031044,3.0192862866578603,4.538581822752384,5.10690480569243,3.272717882098262,4.625083858238073,4.598013295351718,2.697256702290756,2.943668381735904,2.6836549879656117,3.57361413790384,3.312680536192942,4.479728605983576,3.559300277654052,4.673781951299934,3.4241509972980224,2.26429281283863,2.629477949741666,4.670716485778456,3.5200520809354985,2.731453611202506,3.115636589889512,3.96534791454864,2.966209450643716,2.5626767898237923,3.7291897864882784,2.89339949024453,3.8711313918662418,3.993416210038754
205,4.458786844141862,3.760388110687964,2.951748101608346,4.48332290199375,5.262707415748938,3.255269988179406,4.6656282599361685,4.54751440495451,2.77023730601011,3.005200323265602,2.5899937228437557,3.659089614759214,3.361974779187146,4.405851074400099,3.5713457111568183,4.670484487278687,3.4161140562786763,2.443136561173172,2.76295502124151,4.682116589641704,3.33072725902275,2.348052657997486,3.13503933822266,4.1454766200506175,3.043995833909612,2.54009342053116,3.448452043961028,2.83855376346267,3.8766799246947214,4.08981783769377
210,4.4148894517234805,3.70510655982975,3.01771690429572,4.41280539499604,4.431889996969426,3.2105664761600337,4.575167267960036,4.399990087052942,2.834267099457258,2.999020668952704,2.60484354976208,3.7843806402357614,3.3832024784854022,4.525297263526641,3.5890502326689058,4.7985658889493745,3.454830056622388,2.4570895793494523,2.6272522864290844,4.579844167506856,3.269817591059134,2.713749791001922,3.3198504219152283,4.087076411881832,3.0245068486482376,2.517540589821526,3.6894107641710208,2.7809326962854497,3.842372530273636,4.222774655992528
215,4.461791746882712,3.6710164683262043,2.9274334424585158,4.555979032552338,4.751698304380924,3.3367534875377,4.6278769266911635,5.03397200449626,2.77406127823867,2.921910130544074,2.57285798238415,3.7134999525201158,3.3566212720432183,4.645066704478832,3.555166495457704,4.78518413840214,3.3487360784665925,2.3269630372285244,2.864530291037622,4.656408768009012,3.26475266882071,2.622996976360142,3.14892808683084,3.987630009747364,2.894100988138006,2.510086444737954,3.765863393916196,2.7020959174009063,3.780862585504066,4.037556607745266
220,4.50817941963875,3.8900689721006523,2.924477438151068,4.636957212691298,4.977109547974006,3.297976598019696,4.6985587100009045,4.7675550578702275,2.747249497390494,3.0330014340055103,2.576347547193636,3.758959891024382,3.3412418493575258,4.64349067890436,3.581330904054128,4.622585238748345,3.3842769523811937,2.3416247665915257,2.86207463857405,4.752257474003256,3.4029252806376276,2.2319640302968557,3.193364407731292,3.8954017270714756,2.978099712982726,2.543967149436196,3.533147202860426,2.861564575060464,3.9190814228116944,4.186994913616767
225,4.5400705739178395,3.8437544212935224,2.982541622013756,4.528486421324118,4.673933641759488,3.07882105362701,4.683001180661114,4.587942058965168,2.809178297309674,2.980867824487002,2.595003262774888,3.763255648566202,3.462669397215078,4.364932553871536,3.3636816101893756,4.812407694237816,3.560354969036492,2.34613605267345,2.545595023920212,4.724860730778746,3.31502829781068,2.378913485573782,3.0627293492110064,4.38932367176177,3.019408595360352,2.56491689232118,3.7835446844009217,2.755218617134016,3.9047139832729556,4.212596719911067
230,4.522963138339298,3.986285664233132,3.137427854618488,5.00669556765348,4.620248481758346,3.070855300834592,4.56289049392345,4.626770311070098,2.812291584106756,2.947518541011264,2.60599178286337,3.627538530455722,3.3456540465421396,5.039417046862366,3.807859341592548,4.967289303092658,3.5016992476985136,2.381546928379446,2.9237151666314958,4.806233807219176,3.512639137533468,2.1097019360363,3.2460554445005885,4.267898555057981,2.9580130010750283,2.62604678255335,3.7378584277307154,2.8111993860482576,3.895259222997064,4.182525704060373
235,4.446231354333632,3.9624737761433857,3.129797645229004,4.487913408524364,4.651088759252273,3.1515818243923244,4.59228615777581,4.675266369037476,2.772459587141788,2.952631554530806,2.6429279196869238,3.9505554658498925,3.2647210838090084,4.648156669508414,3.546532768333634,5.089494327497888,3.4404906263507895,2.3874446426975657,2.807179678511194,4.797217961684564,3.390545965629362,2.162409923040242,3.191655578182762,4.331418905016356,3.056373522285586,2.6174971881918756,3.756710613230858,2.813992934520092,3.840023704913064,4.096936115694175
240,4.701950579864922,3.897338472556914,3.201830319990992,4.459285879321486,5.307282212964994,3.152273303676784,4.624670034601586,4.9074242443139635,2.8236336226299157,2.95737705719737,2.60933822333017,3.7735573112642045,3.3340703454807956,4.676480343847741,3.4063958395524194,5.115878556752828,3.535286588819684,2.370408054870908,2.767210671273746,4.813062836693343,3.525693480865904,1.815403699343306,3.18427675192812,4.150124621502986,3.013068475166316,2.57095220665616,3.742577037261378,2.828907871469834,3.8227916687404937,4.29085903309888
