time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
110,4.203497183862461,3.7088293122066265,2.8956951679027743,4.5931838122652575,4.845230321950465,3.2278640270968797,4.433092015878613,4.415294941683422,2.813369726418262,2.921672409728928,2.4900047728091934,3.3831066922295725,3.2752319209731504,4.138905277305767,3.7946654369287645,4.377161005714025,3.419364915541061,2.8222880171608193,4.576902012174331,2.9337266914984816,3.2397402219662785,3.5670914685289743,2.4547578867567577,3.57805855508954,2.6669407746573226,3.717432034504616,3.6825274605163174
115,4.2326758246472025,3.7203224316093424,2.905413170393361,4.6257481413584625,4.896667192152976,3.2627039022865807,4.469401931475039,4.39852945707924,2.828606824632318,2.940150304009594,2.521029992782623,3.4503233019124244,3.210155591418328,4.239890115336112,3.776572047997804,4.43704968265832,3.4307322523144945,2.852499119583317,4.583419307974014,2.9297244140870546,3.27614345457966,3.6438747297455425,2.471397965340962,3.5840120128864577,2.629981764265026,3.7435961965726903,3.6801965626022546
120,4.2807504162012595,3.745991377550844,2.8931715750356415,4.649736621508093,4.899878612429728,3.2359738536213176,4.492703622614318,4.438240637910689,2.8646247878428355,2.9618535926421483,2.5164677472823973,3.510066252584861,3.258256493655286,4.25420115736729,3.793141653653966,4.4506202993340285,3.4515290378874997,2.8699009530871233,4.56853410012828,2.9435168346327574,3.303876152989584,3.7576485473874817,2.4839479736222208,3.5979797071439727,2.6359679522853283,3.7704991382186863,3.6964842417323456
125,4.299851621244332,3.7522197927735936,2.9194019991351006,4.597047641093371,4.938697359280591,3.2033351798738168,4.482547900726576,4.444174308936434,2.8362672852869824,2.9852075175242803,2.5533990396288315,3.5219645609197454,3.287947102113128,4.290778224036021,3.788250947294541,4.478291012090173,3.489143644612481,2.8686139414269087,4.569143157493951,2.9819304880094673,3.297252666104248,3.8256679176259745,2.473702629261718,3.5527102127953354,2.6770442475578595,3.7751221821828977,3.7614861384367706
130,4.302953236538078,3.666899803771811,2.9185234452883835,4.47410068914003,4.957600455304577,3.217778924487323,4.474186021012113,4.515051997387159,2.810408767302201,2.9972140450782927,2.537164949508522,3.487261108409935,3.316210625171763,4.266913801258145,3.757571379702242,4.452010418267075,3.4988469862412463,2.8640806615313212,4.6026084829525,3.0572304792800695,3.306232501165615,3.7839589480410045,2.4987762907289905,3.5407629004600336,2.7016226994920327,3.7989657920830484,3.8508064126723918
135,4.357610990533942,3.6887105183677784,2.931891005982459,4.460024244510331,5.010558159074631,3.211531436197931,4.4739274759199095,4.554301992083818,2.7497103661303437,2.970856721069571,2.5449756118365796,3.5482186561436717,3.344962835302718,4.259384383853174,3.758216503564042,4.435226213832741,3.4706416154961977,2.8614949416378863,4.605676255975953,3.0638887758128237,3.2848840065680784,3.8123012571966357,2.4440414055396844,3.4726268562035876,2.7447261549066053,3.788179443353372,3.8979471943343893
140,4.350061354792633,3.7656439310526686,2.9202757145321088,4.439894202422432,5.071943811615501,3.21271306770652,4.491235035334355,4.482299495455189,2.7163331547360197,2.987863014056454,2.546031081601724,3.4670609060053557,3.358216975770506,4.286342651929117,3.7723411102098803,4.396816048697413,3.4564176208060493,2.8521519498202563,4.5917094625776675,3.1024067632245766,3.238870862187163,3.8153342469408313,2.485128807522906,3.4690466270400315,2.739526904183385,3.791957699829798,3.9060273112413593
145,4.3643385255779945,3.763545466487097,2.9272943816590087,4.445037205740258,5.160045868202327,3.2516539895430117,4.509163445496957,4.50899666745185,2.7192840376485616,2.981906271801374,2.559258459407072,3.4411204895638567,3.272002900189029,4.342034611666351,3.7543142491521704,4.434777333561687,3.4307885050772304,2.8045913149122814,4.560537566295084,3.0759213794146048,3.2300419859800904,3.8365804986398278,2.521188750794863,3.50553794409257,2.7155008837603614,3.804307827138151,3.8593551424650863
150,4.3968805509112565,3.7913455614980642,2.905479751851787,4.5177858084314035,5.104068337556845,3.2664542701537465,4.5198238283134184,4.587027336660042,2.7200738408628977,2.966587414789204,2.560573514418976,3.4503858223748574,3.2733747853570136,4.367791628866957,3.7432348614656448,4.47513393069691,3.4434320498117312,2.8075180455258324,4.569397339002994,2.9897065607653914,3.2105027274420292,3.889207042281929,2.541219858408484,3.554184154270315,2.7308435220426768,3.824953332263214,3.860425136864154
155,4.405760034631166,3.7799481340353567,2.9137483179882304,4.379198741707467,5.127708775393338,3.2757830546602893,4.531399724487458,4.603692505669419,2.7176574773158357,2.9591441075578455,2.601327318352725,3.486830239169352,3.255063721080993,4.44842814844039,3.7340981016182777,4.517582026212589,3.3502029271038247,2.8219638685776545,4.615733932136025,3.0090438202530003,3.156856137682825,3.917681815739622,2.5266218584980225,3.5350585130091945,2.705317364649403,3.831549130929522,3.8480745524474873
160,4.425594751158889,3.6774724756612587,2.8951982390401048,4.436528727990127,4.996574462201496,3.299305418417914,4.542622766657008,4.604459640536984,2.7590509530010707,2.9542991160293997,2.5390876935085154,3.5398031376170667,3.259440976205485,4.487685406173223,3.681155659284386,4.558948532854643,3.4340630419178435,2.754503790650953,4.701211579506818,3.0475091340955256,3.1691894030236014,3.880935407310265,2.5307346716341317,3.47083167288879,2.6925466019681834,3.757194997946426,3.830921871443357
165,4.480448449107275,3.709377651307099,2.90662453816942,4.55411773066976,5.027489531186379,3.2652110594253974,4.524113866923388,4.614663088568985,2.7565343166365617,2.92814944106813,2.507051040660833,3.6167721893822273,3.247789658462652,4.53473926895933,3.68365422991083,4.511661675069245,3.4740872185070932,2.7175344181110064,4.7282653855879335,3.093802529546405,3.1766598346946107,3.862246859501458,2.4534425246464924,3.448761539520828,2.6938219169831434,3.6877915965171533,3.875076544606896
