time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
125,4.666381603663059,3.7871442489230995,3.2287332278647103,4.86107066110963,4.7044219794454,3.1811622711943186,4.614936842718294,4.5936407091571985,2.9808934782239183,2.9893880604961467,2.589784299226337,3.741020148767029,3.325555391608019,4.462642967557305,4.093943665057446,4.940629814589221,3.5304712706903074,2.974192521495867,4.798388892480872,3.6131109833478794,3.180657064076584,4.018284768069238,2.452691107963932,3.9279074298681445,2.775633946300047,3.9270059922384712,4.16104216357152
130,4.657370344010035,3.7780948376086383,3.2066137884644523,4.831505399452192,4.847395764548149,3.163055537953661,4.649445129507052,4.56828467686179,2.991879508507365,2.9754748166166225,2.643920702394129,3.7631377040833462,3.3429140052141144,4.472482828790555,4.0392314602374055,4.897772841919119,3.5713193438751856,2.9721453267536213,4.824090745139811,3.6402186320106926,3.0736560909289223,4.04643626072864,2.4485087075335557,3.9473465245688595,2.7832938874238455,3.9292452024520315,4.173010754729558
135,4.634067135340678,3.809282684694802,3.16186427519309,4.81876831264796,4.979764931172716,3.18352361642651,4.666265044617486,4.5899668641536095,3.0027671703576106,2.9756934012036527,2.6878383724598787,3.7546793209458054,3.341712072010381,4.4945562379486725,3.992472818831211,4.872394556548349,3.573020669892249,2.9741047503195883,4.861880926892212,3.657276324969352,3.0198407851920446,4.126071616195622,2.4525870542851336,3.9237478587668324,2.8084415928789634,3.924978166317719,4.155552255300961
140,4.630441077350723,3.852279612956093,3.122698909479489,4.827872800810505,5.063810688712243,3.2037154368466503,4.676883555279036,4.675354845049836,2.985280550744118,2.9885020965502442,2.6953306802526606,3.701476096059557,3.3163233729122696,4.517643428447265,3.998591853374309,4.872490881852082,3.546439676977642,2.9867785007824605,4.887198496623159,3.6431765320323164,3.0582844660567683,4.190319932989503,2.460501188647732,3.881997560548379,2.8352336731367074,3.921381097307475,4.126582190179985
145,4.660801110262783,3.869755943720496,3.1164210032335666,4.839761310368472,5.09722298433175,3.1964684947567865,4.694780088303495,4.724099348454223,2.9457843038066476,3.0059718252061294,2.6815340828417824,3.6593993482534355,3.2739136227324885,4.543047497791847,4.021258121129658,4.903603726119715,3.5251133374545858,3.0058209434887644,4.895352402063645,3.6202746929546916,3.1439740525840523,4.195922554175127,2.4586294463224894,3.8564081932456604,2.8500608744966605,3.9388879527129586,4.114376245100127
150,4.693520229766481,3.85335046625552,3.1478245661892927,4.834153865620439,5.076241982792381,3.183564681090988,4.714716060410864,4.683071793574349,2.9157175453082274,3.0173479609358616,2.6609683289542314,3.691303598554166,3.236019258011955,4.580781771967938,4.013037224139992,4.951828874403091,3.524319864999207,3.024353572798893,4.897686845616819,3.6127583565357284,3.20748739323317,4.180066392855211,2.4501190938777384,3.8604257908075117,2.8553939123761145,3.9680923228043734,4.13179488634483
155,4.686151292808717,3.829774377723359,3.1932590721432303,4.8140519210986,5.022335371357096,3.1970524478418625,4.724664771418557,4.611996273786736,2.916481475823049,3.015516317120348,2.6395934523236053,3.7760535856339983,3.242530680915399,4.6232900204145135,3.9724753344356536,4.976856117731516,3.533613742156998,3.0346307104925225,4.893015366235182,3.617229340481304,3.228874685341627,4.190129358907695,2.455449479987425,3.8739716132948114,2.8577322182584886,3.9776615596116303,4.161340299158338
160,4.641892067406427,3.8264503144805895,3.226457999324574,4.793611540123678,5.0129790339743625,3.2281199948587824,4.728679368979402,4.5887656613719745,2.9421798462574125,3.000025540094663,2.6340162208071862,3.838839934990823,3.317206747503379,4.640296229227329,3.936580945311856,4.954555368431885,3.5462561432676987,3.031797968644389,4.876017605041045,3.631474462407648,3.228191966677593,4.2199015024129185,2.4776926254436917,3.8706346441127635,2.857178513608071,3.9685030864955877,4.17097545181091
165,4.601708218975939,3.8356945027170064,3.245127734992157,4.780394083746386,5.096993776672687,3.237431314860962,4.742102858701125,4.635169592458444,2.971103367080987,2.9791166732596595,2.658220441655052,3.8511200486673283,3.4096406239227877,4.617495844996546,3.9344358968476665,4.9025263886507275,3.5670824772997682,3.018849844573091,4.8584320152446345,3.6663685198145535,3.2197158285145786,4.234831502024059,2.492138417645461,3.8561659733714406,2.8554862211527525,3.968344755366448,4.150609827119014
170,4.58687040273802,3.8359212477426383,3.2568527504164027,4.7823508045031256,5.199788846289406,3.211384925870438,4.769690546937751,4.71784740629241,2.986507468794531,2.9679088674931293,2.7004774557233886,3.8381626621883855,3.4366199065604652,4.584604577960337,3.9520803245038807,4.858904615389854,3.588469895204981,2.9985912082986657,4.849673641686862,3.71465949022593,3.2062082866396073,4.226702795776326,2.4864027804632367,3.852179257702385,2.8605108648135587,3.980215449703674,4.1268654073645425
