participant,method,rss_mono,rss_bi,aicc_mono,aicc_bi,delta_aicc,bic_mono,bic_bi,delta_bic,slow_component_supported,bi_params_at_bounds
p29,bw,0.6763596297173977,0.6649292001677236,-198.46433281122748,-191.0948553928822,-7.369477418345269,-190.40058015788364,-179.5602930079972,-10.84028714988645,False,
p29,cleaned,0.6265772568419102,0.6130137974677905,-202.21052243583404,-195.07821853198385,-7.132303903850186,-194.1467697824902,-183.54365614709883,-10.603113635391367,False,
p31,sg,0.7108699195418058,0.7108709386312981,-196.02587095746324,-187.82114954926206,-8.20472140820118,-187.9621183041194,-176.28658716437704,-11.675531139742361,False,A2 tau2 TD2
p31,bw,0.7346982264854109,0.8435074036687373,-194.41032234437807,-179.43833799347746,-14.971984350900613,-186.34656969103423,-167.90377560859244,-18.442794082441793,False,A2 tau2 TD2
p31,cleaned,0.6906453431702368,0.6906453430316531,-197.44015885846292,-189.2355077055045,-8.204651152958434,-189.37640620511908,-177.70094532061947,-11.675460884499614,False,A2 tau2
p32,sg,0.7979863154061722,0.8328935925947011,-190.36137345457755,-180.05881447031823,-10.30255898425932,-182.2976208012337,-168.5242520854332,-13.773368715800501,False,
p32,bw,1.0205182361291898,0.8113228757282431,-178.30862769779665,-181.3445646034425,3.0359369056458547,-170.2448750444528,-169.81000221855749,-0.43487282589532583,True,
p32,cleaned,1.0005206627245646,0.7889288063526739,-179.27833993610022,-182.7160751608079,3.437735224707666,-171.21458728275638,-171.18151277592287,-0.03307450683351476,True,
p33,sg,1.572551219480254,1.1321956746425008,-157.12158099785375,-165.01541231467652,7.893831316822769,-149.05782834450991,-153.4808499297915,4.423021585281589,True,tau2
p33,bw,1.6302675512105607,1.1547600699371448,-155.35538275361517,-164.0484576612393,8.693074907624123,-147.29163010027133,-152.51389527635428,5.222265176082942,True,tau2
p33,cleaned,1.5621369584076548,1.075097359749469,-157.44716404859102,-167.55104459773455,10.103880549143526,-149.38341139524718,-156.01648221284952,6.633070817602345,True,
p35,sg,0.9301206520004116,0.9025920667587114,-182.85345319808073,-176.12093907392332,-6.7325141241574045,-174.7897005447369,-164.5863766890383,-10.203323855698585,False,A2 tau2
p35,bw,0.9539452657533081,0.9539456120924021,-181.6141459178061,-173.40947696509275,-8.204668952713348,-173.55039326446226,-161.87491458020773,-11.675478684254529,False,A2 TD2
p35,cleaned,0.8473048998794773,0.8473048998481953,-187.4228847404019,-179.21823357942029,-8.204651160981626,-179.35913208705807,-167.68367119453526,-11.675460892522807,False,A2 tau2 TD2
p36,sg,0.8589770298230648,0.6824515601033256,-186.75248757011448,-189.82031731124093,3.0678297411264452,-178.68873491677064,-178.2857549263559,-0.4029799904147353,True,
p36,bw,0.8571233881434438,0.6949512732542985,-186.85834207218704,-188.9309583761533,2.072616303966271,-178.7945894188432,-177.3963959912683,-1.3981934275749097,True,
p36,cleaned,0.8543095387937303,0.7119091802058536,-187.0194687400277,-187.74963625566198,0.7301675156342924,-178.95571608668385,-176.21507387077696,-2.740642215906888,False,
p38,sg,0.5209759502200152,0.4792173861660255,-211.25436432612736,-207.1436412157516,-4.110723110375773,-203.19061167278352,-195.60907883086657,-7.581532841916953,False,tau2
p38,bw,0.5268732407359126,0.48514833714388456,-210.70281494520646,-206.54092327369264,-4.161891671513814,-202.63906229186261,-195.00636088880762,-7.632701403054995,False,tau2
p38,cleaned,0.5164560028068896,0.47471990177105694,-211.68133946216844,-207.60568074603106,-4.075658716137383,-203.6175868088246,-196.07111836114603,-7.5464684476785635,False,tau2
p40,sg,0.9318753163710988,0.8070550635146323,-182.76110221443219,-181.60300026072946,-1.158101953702726,-174.69734956108834,-170.06843787584444,-4.6289116852439065,False,tau2
p40,bw,0.9475179026455565,0.8217893502732029,-181.94540870218668,-180.71648250787186,-1.2289261943148233,-173.88165604884284,-169.18192012298684,-4.699735925856004,False,tau2
p40,cleaned,0.9209002287892211,0.7933684616062712,-183.341621083095,-182.44110321626087,-0.9005178668341216,-175.27786842975115,-170.90654083137585,-4.371327598375302,False,
p42,sg,0.3269804603767499,0.27774437605825547,-234.07873410963057,-233.87084545266308,-0.2078886569674978,-226.01498145628673,-222.33628306777806,-3.6786983885086784,False,tau2
p42,bw,0.34977639991918963,0.30041262101009886,-230.77644388562013,-230.02651355944823,-0.7499303261718921,-222.71269123227628,-218.4919511745632,-4.220740057713073,False,
p42,cleaned,0.2980278769739514,0.24867905994553616,-238.6216900182277,-239.2872089659222,0.665518947694494,-230.55793736488386,-227.75264658103717,-2.8052907838466865,False,
p43,sg,0.6635708977132636,0.6018822544103402,-199.3997050329886,-195.97617333814483,-3.423531694843774,-191.33595237964477,-184.4416109532598,-6.894341426384955,False,
p43,bw,0.6681610678859672,0.597690014151298,-199.06192050130986,-196.31866309783624,-2.7432574034736206,-190.99816784796602,-184.78410071295121,-6.214067135014801,False,
p43,cleaned,0.6525232610277487,0.5813665661260781,-200.2223618456769,-197.67551072480586,-2.5468511208710254,-192.15860919233305,-186.14094833992084,-6.017660852412206,False,
p44,sg,1.308818522876241,0.5815821017202701,-166.11672864301377,-197.65734785222458,31.540619209210803,-158.05297598966993,-186.12278546733955,28.069809477669622,True,tau2
p44,bw,1.3068380295344861,0.5775066748906321,-166.19093119242862,-198.00192324906027,31.810992056631648,-158.12717853908478,-186.46736086417525,28.340182325090467,True,tau2
p44,cleaned,1.3059884380602824,0.5761351619309524,-166.22279705433678,-198.11843110191535,31.895634047578568,-158.15904440099294,-186.58386871703033,28.424824316037387,True,
